Date,Open,High,Low,Close,Adj Close,Volume
3/16/2006,227.125,229.988007,225.787994,229.425003,136.975327,4600064
3/17/2006,230,235.061996,230,232.625,138.885849,5932240
3/20/2006,234.25,239.375,233.188004,238.5,142.393402,7012872
3/21/2006,238.5,241.875,237.332993,239.399994,142.93074,5301384
3/22/2006,240,240,235.149994,236.669998,141.300827,5121168
3/23/2006,237.5,239.875,233.533005,234.274994,139.870972,2644488
3/24/2006,235.875,238.125,233.632996,236.432007,141.158783,2917384
3/27/2006,236.875,238.75,235.695007,236.369995,141.121765,2928432
3/28/2006,237.5,238.875,235.125,235.949997,140.871048,3751272
3/29/2006,234.875,237.863007,233.375,237.270004,141.659073,4284296
3/30/2006,237.863007,251.25,237.863007,246.011993,146.878433,5784168
3/31/2006,244.738007,244.738007,238.75,239.438004,142.953445,2920168
4/3/2006,240.875,244.5,240,243.845001,145.58461,3105672
4/4/2006,243.800003,245,242.507996,243.570007,145.42041,2971608
4/5/2006,243.761993,245.645004,240,241.507996,144.189331,2776928
4/7/2006,243.5,249.625,234.375,236.158005,140.995178,7385560
4/10/2006,237.5,239.994995,235,236.761993,141.355804,7034440
4/12/2006,237.274994,237.5,220.375,222.600006,132.900543,13157376
4/13/2006,225.625,228.712006,221.25,224.645004,134.12149,8601672
4/17/2006,228.125,238.875,226.908005,238.320007,142.285995,9688752
4/18/2006,247.25,261,247.25,251.188004,149.968674,14778488
4/19/2006,253.625,256.25,249.75,251.595001,150.211639,9803312
4/20/2006,252.488007,253.119995,246.875,248.738007,148.505905,6296944
4/21/2006,250,253.744995,245.625,249.882996,149.189545,4973000
4/24/2006,249.75,249.957993,245.625,247.408005,147.711792,5234808
4/25/2006,247.488007,247.488007,237.375,240.869995,143.808411,5702208
4/26/2006,241,244.5,238.75,242.794998,144.957748,7071136
4/27/2006,242.794998,250.375,241.25,243.231995,145.218628,7164848
4/28/2006,238.375,248.875,228.794998,247.257996,147.622284,5292360
5/2/2006,248,253.050003,247.5,251.645004,150.241486,6239280
5/3/2006,253,254.988007,251.882996,253.945007,151.6147,3148160
5/4/2006,253.5,257.237,252.662994,255.462006,152.520462,3929824
5/5/2006,256.875,256.875,249.375,250.832993,149.756683,2710520
5/8/2006,252.625,261.5,251.25,252.432007,150.711365,1484712
5/9/2006,254,255.550003,250.625,253.106995,151.11441,1800392
5/10/2006,255.550003,255.875,250.287994,252.712006,150.87851,1978192
5/11/2006,253.662994,253.662994,250.675003,252.337006,150.654694,1964024
5/12/2006,251.375,253.106995,246.287994,249.520004,148.972778,2777136
5/15/2006,247.5,250.125,240,245.113007,146.341644,4034504
5/16/2006,244.994995,249.375,239.975006,246.837006,147.370895,2671568
5/17/2006,249.375,252.5,248.75,252.070007,150.49527,1343368
5/18/2006,248.75,249.988007,237.5,240.707993,143.711716,4542360
5/19/2006,243.75,244.975006,231.438004,236.544998,141.226212,4868216
5/22/2006,240,240,218,222.561996,132.877884,4699416
5/23/2006,225,234.25,212.625,228.774994,136.58728,5388136
5/24/2006,233.75,235,220,223.832993,133.636673,5705568
5/25/2006,222.5,237.300003,218.125,234.619995,140.076935,5839048
5/26/2006,236.25,237.5,230.125,233.294998,139.285858,2208184
5/29/2006,233.125,233.125,230.037994,231.320007,138.106705,2802688
5/30/2006,233.125,236.886993,229.375,232.544998,138.83812,4516056
5/31/2006,230.136993,230.136993,216.25,222.863007,133.057617,5769856
6/1/2006,228.125,228.125,211.25,213.669998,127.568977,5942760
6/2/2006,214.363007,225,211,224.25,133.885681,4213560
6/5/2006,224.25,225.550003,219.283005,220.949997,131.915482,3211680
6/6/2006,218.100006,223.475006,211.25,218.613007,130.520172,2971136
6/7/2006,225,225,211.658005,212.994995,127.165977,5410536
6/8/2006,215.625,215.625,201.399994,205.988007,122.982574,5360992
